"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"13",1,2,0.907574914700413
"22",1,3,3.27506960801954
"23",1,4,1.63166143099606
"24",1,5,2.18569404628399
"25",1,6,1.70824524312896
"26",1,7,0
"27",1,8,0
"28",1,9,0
"3",1,10,0
"4",1,11,0
"5",1,12,0
"6",1,13,0
"7",1,14,0
"8",1,15,0
"9",1,16,0
"10",1,17,0
"11",1,18,0
"12",1,19,0
"14",1,20,0
"15",1,21,0
"16",1,22,0
"17",1,23,0
"18",1,24,0
"19",1,25,0
"20",1,26,0
"21",1,27,0
"309",2,0,0
"310",2,1,1.33880172012637
"321",2,2,1.85118262535992
"330",2,3,0.876006063786392
"331",2,4,0.247926244467847
"332",2,5,2.23133620021062
"333",2,6,0.181812579276421
"334",2,7,0.0165284162978565
"335",2,8,0
"336",2,9,0
"311",2,10,0
"312",2,11,0
"313",2,12,0.0165284162978565
"314",2,13,0
"315",2,14,0.314039909659273
"316",2,15,0
"317",2,16,0.148755746680708
"318",2,17,0.0661136651914258
"319",2,18,0
"320",2,19,0
"322",2,20,0.0826420814892823
"323",2,21,0.0495852488935694
"324",2,22,0.0661136651914258
"325",2,23,0.0165284162978565
"326",2,24,0.148755746680708
"327",2,25,0.0661136651914258
"328",2,26,0.0661136651914258
"329",2,27,0
"617",3,0,0
"618",3,1,0
"629",3,2,0
"638",3,3,0
"639",3,4,0
"640",3,5,0.254346120210952
"641",3,6,0.0508692240421904
"642",3,7,0
"643",3,8,0
"644",3,9,0
"619",3,10,0
"620",3,11,0
"621",3,12,0
"622",3,13,0.0127173060105476
"623",3,14,0.152607672126571
"624",3,15,0
"625",3,16,0.101738448084381
"626",3,17,0.406953792337523
"627",3,18,0.381519180316428
"628",3,19,0.0381519180316428
"630",3,20,0.152607672126571
"631",3,21,0.0890211420738332
"632",3,22,1.03010178685436
"633",3,23,0.928363338769974
"634",3,24,0.674017218559023
"635",3,25,1.24629598903366
"636",3,26,0.127173060105476
"637",3,27,0.127173060105476
"925",4,0,0
"926",4,1,0
"937",4,2,0
"946",4,3,0
"947",4,4,0
"948",4,5,0
"949",4,6,0
"950",4,7,0
"951",4,8,0
"952",4,9,0
"927",4,10,0
"928",4,11,0
"929",4,12,0
"930",4,13,0
"931",4,14,0
"932",4,15,0
"933",4,16,0
"934",4,17,0
"935",4,18,0
"936",4,19,0
"938",4,20,0.0985223822728899
"939",4,21,0.0875754509092355
"940",4,22,0.492611911364449
"941",4,23,1.46688880272969
"942",4,24,1.52162345954797
"943",4,25,0.908595303183318
"944",4,26,0.109469313636544
"945",4,27,0.109469313636544
"981",5,0,0
"982",5,1,0
"993",5,2,0
"1002",5,3,0
"1003",5,4,0
"1004",5,5,0
"1005",5,6,0
"1006",5,7,0
"1007",5,8,0
"1008",5,9,0
"983",5,10,0
"984",5,11,0
"985",5,12,0
"986",5,13,0
"987",5,14,0
"988",5,15,0.0169491525423729
"989",5,16,0.423728813559322
"990",5,17,0.11864406779661
"991",5,18,0.271186440677966
"992",5,19,0.0508474576271186
"994",5,20,1.40677966101695
"995",5,21,1.76271186440678
"996",5,22,1.1864406779661
"997",5,23,0.915254237288136
"998",5,24,1.42372881355932
"999",5,25,0.406779661016949
"1000",5,26,0.0169491525423729
"1001",5,27,0
"1009",6,0,0
"1010",6,1,0
"1021",6,2,0
"1030",6,3,0
"1031",6,4,0
"1032",6,5,0
"1033",6,6,0
"1034",6,7,0
"1035",6,8,0
"1036",6,9,0
"1011",6,10,0
"1012",6,11,0
"1013",6,12,0
"1014",6,13,0
"1015",6,14,0
"1016",6,15,0
"1017",6,16,0
"1018",6,17,0.0198038371404934
"1019",6,18,0.1485287785537
"1020",6,19,0.00990191857024669
"1022",6,20,0.188136452834687
"1023",6,21,0.20794028997518
"1024",6,22,0.841663078470969
"1025",6,23,1.23773982128084
"1026",6,24,1.30705325127256
"1027",6,25,0.20794028997518
"1028",6,26,0
"1029",6,27,0
"1037",7,0,0
"1038",7,1,0
"1049",7,2,0
"1058",7,3,0
"1059",7,4,0
"1060",7,5,0
"1061",7,6,0
"1062",7,7,0
"1063",7,8,0
"1064",7,9,0
"1039",7,10,0
"1040",7,11,0
"1041",7,12,0
"1042",7,13,0
"1043",7,14,0.0502090551107708
"1044",7,15,0
"1045",7,16,0
"1046",7,17,0.0502090551107708
"1047",7,18,0.0167363517035903
"1048",7,19,0.0753135826661561
"1050",7,20,0.117154461925132
"1051",7,21,0.0920499343697464
"1052",7,22,0.276149803109239
"1053",7,23,1.18828097095491
"1054",7,24,0.945603871252849
"1055",7,25,0.3430952099236
"1056",7,26,0.0753135826661561
"1057",7,27,0
"1065",8,0,0
"1066",8,1,0
"1077",8,2,0
"1086",8,3,0
"1087",8,4,0
"1088",8,5,0
"1089",8,6,0
"1090",8,7,0
"1091",8,8,0
"1092",8,9,0
"1067",8,10,0
"1068",8,11,0
"1069",8,12,0
"1070",8,13,0
"1071",8,14,1.66104531150679
"1072",8,15,1.17028192401615
"1073",8,16,0.0503347064092967
"1074",8,17,0.30200823845578
"1075",8,18,0.176171472432539
"1076",8,19,0.792771625946423
"1078",8,20,0.213922502239511
"1079",8,21,0.465596034285995
"1080",8,22,0.125836766023242
"1081",8,23,0.352342944865077
"1082",8,24,0.239089855444159
"1083",8,25,0.15100411922789
"1084",8,26,0
"1085",8,27,0
"1093",9,0,0
"1094",9,1,0.0385694081960294
"1105",9,2,0
"1114",9,3,0
"1115",9,4,0
"1116",9,5,0
"1117",9,6,0
"1118",9,7,0
"1119",9,8,0
"1120",9,9,0
"1095",9,10,0
"1096",9,11,0
"1097",9,12,0
"1098",9,13,0
"1099",9,14,0.115708224588088
"1100",9,15,0.295698796169558
"1101",9,16,0.0899952857907352
"1102",9,17,0.334268204365588
"1103",9,18,0.61711053113647
"1104",9,19,1.23422106227294
"1106",9,20,0.668536408731175
"1107",9,21,0.475689367751029
"1108",9,22,1.20850812347559
"1109",9,23,0.231416449176176
"1110",9,24,0.385694081960294
"1111",9,25,0.154277632784117
"1112",9,26,0
"1113",9,27,0
"29",10,0,0
"30",10,1,0
"41",10,2,1.24640736728347
"50",10,3,1.12176663055512
"51",10,4,0.394695666306432
"52",10,5,0
"53",10,6,0
"54",10,7,0
"55",10,8,0
"56",10,9,0
"31",10,10,0
"32",10,11,0
"33",10,12,0
"34",10,13,0
"35",10,14,0
"36",10,15,0
"37",10,16,0
"38",10,17,0
"39",10,18,0
"40",10,19,0.477789490791996
"42",10,20,0.18696110509252
"43",10,21,0
"44",10,22,0.560883315277561
"45",10,23,0.384308938245736
"46",10,24,0.0830938244855646
"47",10,25,0
"48",10,26,0
"49",10,27,0
"57",11,0,0
"58",11,1,0.937686982126829
"69",11,2,3.36931593577776
"78",11,3,2.51109395213625
"79",11,4,0.0317859993941298
"80",11,5,0
"81",11,6,0
"82",11,7,0
"83",11,8,0
"84",11,9,0
"59",11,10,0
"60",11,11,0
"61",11,12,0
"62",11,13,0
"63",11,14,0
"64",11,15,0
"65",11,16,0
"66",11,17,0
"67",11,18,0.190715996364779
"68",11,19,0
"70",11,20,0.397324992426623
"71",11,21,0.158929996970649
"72",11,22,0
"73",11,23,0
"74",11,24,0
"75",11,25,0
"76",11,26,0
"77",11,27,0
"85",12,0,0
"86",12,1,0
"97",12,2,0
"106",12,3,0
"107",12,4,0
"108",12,5,0
"109",12,6,0
"110",12,7,0
"111",12,8,0
"112",12,9,0
"87",12,10,0
"88",12,11,0
"89",12,12,0.0801654669256271
"90",12,13,0
"91",12,14,0
"92",12,15,0.267218223085424
"93",12,16,0.195960030262644
"94",12,17,0.472085527450915
"95",12,18,0.436456431039525
"96",12,19,0.445363705142373
"98",12,20,0.881820136181898
"99",12,21,0.45427097924522
"100",12,22,0.213774578468339
"101",12,23,0.0801654669256271
"102",12,24,0.115794563337017
"103",12,25,0
"104",12,26,0
"105",12,27,0
"113",13,0,0
"114",13,1,0
"125",13,2,0
"134",13,3,0
"135",13,4,0
"136",13,5,0
"137",13,6,0
"138",13,7,0
"139",13,8,0
"140",13,9,0
"115",13,10,0
"116",13,11,0
"117",13,12,0
"118",13,13,0
"119",13,14,0
"120",13,15,0.0853262751334211
"121",13,16,0.0341305100533684
"122",13,17,0.076793647620079
"123",13,18,1.46761193229484
"124",13,19,0.401033493127079
"126",13,20,0.153587295240158
"127",13,21,0.895925888900922
"128",13,22,0.136522040213474
"129",13,23,0.153587295240158
"130",13,24,0
"131",13,25,0
"132",13,26,0
"133",13,27,0
"141",14,0,0
"142",14,1,1.84564493011335
"153",14,2,0.688206584110064
"162",14,3,0
"163",14,4,0
"164",14,5,0
"165",14,6,0
"166",14,7,0
"167",14,8,0
"168",14,9,0
"143",14,10,0
"144",14,11,0
"145",14,12,0
"146",14,13,0
"147",14,14,0
"148",14,15,0
"149",14,16,0
"150",14,17,0
"151",14,18,0.0938463523786451
"152",14,19,0.211154292851952
"154",14,20,0.0156410587297742
"155",14,21,0.0938463523786451
"156",14,22,0
"157",14,23,0
"158",14,24,0
"159",14,25,0
"160",14,26,0
"161",14,27,0
"169",15,0,0
"170",15,1,2.3730351036037
"181",15,2,0.0632809360960987
"190",15,3,0
"191",15,4,0
"192",15,5,0
"193",15,6,0
"194",15,7,0
"195",15,8,0
"196",15,9,0
"171",15,10,0
"172",15,11,0
"173",15,12,0
"174",15,13,0
"175",15,14,0
"176",15,15,0
"177",15,16,0
"178",15,17,0
"179",15,18,0
"180",15,19,0
"182",15,20,0.50624748876879
"183",15,21,0
"184",15,22,1.53983611167174
"185",15,23,0.158202340240247
"186",15,24,0
"187",15,25,0
"188",15,26,0
"189",15,27,0
"197",16,0,0
"198",16,1,1.53027879784711
"209",16,2,0
"218",16,3,0
"219",16,4,0
"220",16,5,0
"221",16,6,0
"222",16,7,0
"223",16,8,0
"224",16,9,0
"199",16,10,0
"200",16,11,0
"201",16,12,0
"202",16,13,0
"203",16,14,0.210038266371172
"204",16,15,0
"205",16,16,0
"206",16,17,0.0300054666244532
"207",16,18,1.08019679848032
"208",16,19,0.510092932615704
"210",16,20,1.53027879784711
"211",16,21,2.1453908636484
"212",16,22,0.0150027333122266
"213",16,23,0.0150027333122266
"214",16,24,0.0150027333122266
"215",16,25,0.0300054666244532
"216",16,26,0
"217",16,27,0
"225",17,0,0
"226",17,1,0
"237",17,2,0
"246",17,3,0
"247",17,4,0
"248",17,5,0
"249",17,6,0
"250",17,7,0
"251",17,8,0
"252",17,9,0
"227",17,10,0
"228",17,11,0
"229",17,12,0
"230",17,13,0
"231",17,14,0
"232",17,15,0
"233",17,16,0
"234",17,17,0
"235",17,18,0.0882832967272028
"236",17,19,0.0147138827878671
"238",17,20,2.22179630096794
"239",17,21,2.26593794933154
"240",17,22,2.11879912145287
"241",17,23,0.161852710666539
"242",17,24,0.10299717951507
"243",17,25,0
"244",17,26,0
"245",17,27,0
"253",18,0,0
"254",18,1,0
"265",18,2,1.35472520533627
"274",18,3,0
"275",18,4,0
"276",18,5,0
"277",18,6,0
"278",18,7,0
"279",18,8,0
"280",18,9,0
"255",18,10,0
"256",18,11,0
"257",18,12,0
"258",18,13,0.165462620499086
"259",18,14,0
"260",18,15,0
"261",18,16,0
"262",18,17,0
"263",18,18,0
"264",18,19,0.0517070689059645
"266",18,20,0.279218172092208
"267",18,21,0.217169689405051
"268",18,22,1.08584844702525
"269",18,23,0.455022206372487
"270",18,24,0.816971688714239
"271",18,25,0.093072724030736
"272",18,26,0
"273",18,27,0
"281",19,0,0
"282",19,1,0.0428113733806348
"293",19,2,4.03853955557321
"302",19,3,1.54120944170285
"303",19,4,0
"304",19,5,0
"305",19,6,0
"306",19,7,0
"307",19,8,0
"308",19,9,0
"283",19,10,0
"284",19,11,0
"285",19,12,0
"286",19,13,0.485195564980528
"287",19,14,0
"288",19,15,0
"289",19,16,0
"290",19,17,0.156975035728994
"291",19,18,0
"292",19,19,0.0142704577935449
"294",19,20,0
"295",19,21,0.0856227467612696
"296",19,22,0
"297",19,23,0.0142704577935449
"298",19,24,0.0713522889677246
"299",19,25,0.271138698077354
"300",19,26,0
"301",19,27,0
"337",20,0,0
"338",20,1,0
"349",20,2,0.915166732045823
"358",20,3,0
"359",20,4,0.0150027333122266
"360",20,5,1.26022959822703
"361",20,6,0.285051932932305
"362",20,7,0.0900163998733596
"363",20,8,0.0150027333122266
"364",20,9,0
"339",20,10,0.075013666561133
"340",20,11,0.630114799113517
"341",20,12,0.345062866181212
"342",20,13,0.375068332805665
"343",20,14,0
"344",20,15,0
"345",20,16,0.885161265421369
"346",20,17,0
"347",20,18,0.195035533058946
"348",20,19,0.0450081999366798
"350",20,20,0.495090199303478
"351",20,21,0.540098399240158
"352",20,22,0.270049199620079
"353",20,23,0.420076532742345
"354",20,24,0.165030066434493
"355",20,25,0
"356",20,26,0.0900163998733596
"357",20,27,0
"365",21,0,0
"366",21,1,0.952017890417128
"377",21,2,2.92709978247654
"386",21,3,0
"387",21,4,0
"388",21,5,0
"389",21,6,0
"390",21,7,0
"391",21,8,0
"392",21,9,0
"367",21,10,0
"368",21,11,0
"369",21,12,0.0142092222450318
"370",21,13,0.0568368889801271
"371",21,14,0
"372",21,15,0
"373",21,16,0.596787334291334
"374",21,17,0.198929111430445
"375",21,18,0
"376",21,19,0.0284184444900635
"378",21,20,0.198929111430445
"379",21,21,0.284184444900635
"380",21,22,0.497322778576112
"381",21,23,0.326812111635731
"382",21,24,0.0284184444900635
"383",21,25,0
"384",21,26,0
"385",21,27,0
"393",22,0,0
"394",22,1,0.320909302572317
"405",22,2,0
"414",22,3,0
"415",22,4,0
"416",22,5,0
"417",22,6,0
"418",22,7,0.0641818605144635
"419",22,8,1.10392800084877
"420",22,9,0.462109395704137
"395",22,10,0.115527348926034
"396",22,11,0.231054697852069
"397",22,12,0.744509581967776
"398",22,13,1.37349181500952
"399",22,14,0.551964000424386
"400",22,15,0.0256727442057854
"401",22,16,0.0385091163086781
"402",22,17,0
"403",22,18,0
"404",22,19,0
"406",22,20,0
"407",22,21,0
"408",22,22,0.14120009313182
"409",22,23,0
"410",22,24,0.231054697852069
"411",22,25,0
"412",22,26,0
"413",22,27,0
"421",23,0,0
"422",23,1,0.336832982064109
"433",23,2,0.803217111075952
"442",23,3,0
"443",23,4,0
"444",23,5,0
"445",23,6,0
"446",23,7,0
"447",23,8,0
"448",23,9,0
"423",23,10,0
"424",23,11,0
"425",23,12,0
"426",23,13,0.336832982064109
"427",23,14,0.604572019089426
"428",23,15,0.578661789699879
"429",23,16,0
"430",23,17,0
"431",23,18,0
"432",23,19,0
"434",23,20,0
"435",23,21,0.0172734862596979
"436",23,22,0.0690939450387916
"437",23,23,0.0172734862596979
"438",23,24,0.285012523285015
"439",23,25,0
"440",23,26,0
"441",23,27,0
"449",24,0,0
"450",24,1,2.51433381439287
"461",24,2,3.7627093446159
"470",24,3,0
"471",24,4,0
"472",24,5,0.562648126297705
"473",24,6,0
"474",24,7,0.562648126297705
"475",24,8,0.0175827539468033
"476",24,9,0
"451",24,10,0
"452",24,11,0
"453",24,12,0
"454",24,13,0
"455",24,14,0
"456",24,15,0
"457",24,16,0
"458",24,17,0
"459",24,18,0
"460",24,19,0
"462",24,20,0
"463",24,21,0.0879137697340164
"464",24,22,0
"465",24,23,0.210993047361639
"466",24,24,0.0527482618404098
"467",24,25,0
"468",24,26,0
"469",24,27,0
"477",25,0,0
"478",25,1,0
"489",25,2,2.67268623024831
"498",25,3,0.325056433408578
"499",25,4,0.216704288939052
"500",25,5,3.91873589164786
"501",25,6,0
"502",25,7,0.866817155756208
"503",25,8,0
"504",25,9,0
"479",25,10,0
"480",25,11,0
"481",25,12,0
"482",25,13,0
"483",25,14,0
"484",25,15,0
"485",25,16,0
"486",25,17,0
"487",25,18,0
"488",25,19,0
"490",25,20,0
"491",25,21,0
"492",25,22,0
"493",25,23,0
"494",25,24,0
"495",25,25,0
"496",25,26,0
"497",25,27,0
"505",26,0,0
"506",26,1,0
"517",26,2,5.42986425339367
"526",26,3,2.42533936651584
"527",26,4,0.144796380090498
"528",26,5,0
"529",26,6,0
"530",26,7,0
"531",26,8,0
"532",26,9,0
"507",26,10,0
"508",26,11,0
"509",26,12,0
"510",26,13,0
"511",26,14,0
"512",26,15,0
"513",26,16,0
"514",26,17,0
"515",26,18,0
"516",26,19,0
"518",26,20,0
"519",26,21,0
"520",26,22,0
"521",26,23,0
"522",26,24,0
"523",26,25,0
"524",26,26,0
"525",26,27,0
"533",27,0,0
"534",27,1,0
"545",27,2,5.79683972911964
"554",27,3,0.108352144469526
"555",27,4,0.054176072234763
"556",27,5,0.234762979683973
"557",27,6,0
"558",27,7,1.17381489841986
"559",27,8,0
"560",27,9,0
"535",27,10,0
"536",27,11,0
"537",27,12,0
"538",27,13,0
"539",27,14,0
"540",27,15,0
"541",27,16,0
"542",27,17,0
"543",27,18,0
"544",27,19,0.054176072234763
"546",27,20,0
"547",27,21,0
"548",27,22,0
"549",27,23,0.306997742663657
"550",27,24,0.18058690744921
"551",27,25,0.090293453724605
"552",27,26,0
"553",27,27,0
"561",28,0,0
"562",28,1,0
"573",28,2,0
"582",28,3,0
"583",28,4,0.961044685218354
"584",28,5,0.598386313437843
"585",28,6,0
"586",28,7,0
"587",28,8,0
"588",28,9,0
"563",28,10,0
"564",28,11,0
"565",28,12,0
"566",28,13,0
"567",28,14,0
"568",28,15,0
"569",28,16,0
"570",28,17,0
"571",28,18,0
"572",28,19,0
"574",28,20,0.00906645929451277
"575",28,21,0
"576",28,22,0
"577",28,23,0.716250284266509
"578",28,24,0.471455883314664
"579",28,25,0.553054016965279
"580",28,26,0
"581",28,27,0
"589",29,0,0
"590",29,1,0
"601",29,2,0
"610",29,3,0
"611",29,4,0
"612",29,5,0
"613",29,6,0
"614",29,7,0
"615",29,8,0
"616",29,9,0.131513824644018
"591",29,10,0
"592",29,11,0
"593",29,12,0
"594",29,13,0
"595",29,14,0
"596",29,15,0
"597",29,16,0
"598",29,17,0
"599",29,18,0
"600",29,19,0
"602",29,20,0.122119980026588
"603",29,21,0.187876892348598
"604",29,22,0.319390716992616
"605",29,23,0.742113724776961
"606",29,24,1.29635055720532
"607",29,25,0.704538346307241
"608",29,26,0
"609",29,27,0
"645",30,0,0
"646",30,1,0
"657",30,2,0
"666",30,3,0
"667",30,4,0
"668",30,5,0
"669",30,6,0
"670",30,7,0
"671",30,8,0.108597285067873
"672",30,9,0.633484162895928
"647",30,10,0
"648",30,11,0
"649",30,12,0
"650",30,13,0
"651",30,14,0
"652",30,15,0.199095022624434
"653",30,16,0.959276018099548
"654",30,17,0.832579185520362
"655",30,18,1.53846153846154
"656",30,19,0.126696832579186
"658",30,20,0.380090497737557
"659",30,21,0.470588235294118
"660",30,22,0.434389140271493
"661",30,23,1.15837104072398
"662",30,24,1.14027149321267
"663",30,25,0.0180995475113122
"664",30,26,0
"665",30,27,0
"673",31,0,0
"674",31,1,0
"685",31,2,0
"694",31,3,0
"695",31,4,0
"696",31,5,0
"697",31,6,0
"698",31,7,0
"699",31,8,0
"700",31,9,0
"675",31,10,0
"676",31,11,0
"677",31,12,0
"678",31,13,0
"679",31,14,0
"680",31,15,0
"681",31,16,0
"682",31,17,0
"683",31,18,0.286350382722078
"684",31,19,0
"686",31,20,0.165781800523308
"687",31,21,0.226066091622693
"688",31,22,0.663127202093233
"689",31,23,2.87857489999563
"690",31,24,2.3812294984257
"691",31,25,0.0602842910993848
"692",31,26,0
"693",31,27,0
"701",32,0,0
"702",32,1,0
"713",32,2,0
"722",32,3,0
"723",32,4,0
"724",32,5,0
"725",32,6,0
"726",32,7,0
"727",32,8,0
"728",32,9,0
"703",32,10,0
"704",32,11,0
"705",32,12,0
"706",32,13,0
"707",32,14,0
"708",32,15,0
"709",32,16,0
"710",32,17,0
"711",32,18,0
"712",32,19,0
"714",32,20,0
"715",32,21,0
"716",32,22,0.294420829940231
"717",32,23,0.138550978795403
"718",32,24,0.658117149278163
"719",32,25,0.0865943617471267
"720",32,26,0
"721",32,27,0
"729",33,0,0
"730",33,1,0.148527440130432
"741",33,2,2.04637806401929
"750",33,3,0.684876529490327
"751",33,4,0
"752",33,5,0
"753",33,6,0
"754",33,7,0
"755",33,8,0
"756",33,9,0
"731",33,10,0
"732",33,11,0
"733",33,12,0
"734",33,13,0
"735",33,14,0
"736",33,15,0
"737",33,16,0
"738",33,17,0
"739",33,18,0
"740",33,19,0
"742",33,20,0
"743",33,21,0
"744",33,22,0
"745",33,23,0
"746",33,24,0
"747",33,25,0
"748",33,26,0
"749",33,27,0
"757",34,0,0
"758",34,1,0
"769",34,2,4.94331187014956
"778",34,3,0.226066091622693
"779",34,4,0
"780",34,5,0
"781",34,6,0
"782",34,7,0
"783",34,8,0
"784",34,9,0
"759",34,10,0
"760",34,11,0
"761",34,12,0
"762",34,13,0
"763",34,14,0
"764",34,15,0
"765",34,16,0
"766",34,17,0
"767",34,18,0
"768",34,19,0
"770",34,20,0.075355363874231
"771",34,21,0.195923946073001
"772",34,22,0.55762969266931
"773",34,23,0.55762969266931
"774",34,24,0.105497509423923
"775",34,25,0
"776",34,26,0
